Language,code,Samples,Glottocode,Genus,Subfamily,Family,Area,Type_wdef,Type_simp,Type_yn,Exist_Dem,Gender_Dem,Number_Dem,Case_Dem,Def_Dem,Person_Dem,Clf_Dem,Exist_Num,Gender_Num,Number_Num,Case_Num,Def_Num,Person_Num,Clf_Num,Exist_Adj,Gender_Adj,Number_Adj,Case_Adj,Def_Adj,Person_Adj,Clf_Adj,28A,49A,51A,33A,21A,34A,30A,31A,32A,55A,87A,88A,89A,86A,90A,81A,82A,83A
Coos (Hanis),coo,"['WALS-174', 'WALS-200']",coos1249,Coosan,,Oregon Coast,North America,indeterminate-minimal,indeterminate,concord,True,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,True,False,False,False,False,No case marking,8-9 cases,Postpositional clitics,Mixed morphological plural,--,"Only human nouns, obligatory",None,No gender,No gender,Absent,Adjective-Noun,Demonstrative-Noun,Numeral-Noun,No dominant order,Noun-Relative clause,No dominant order,VS,No dominant order
Yukaghir (Kolyma),yko,"['WALS-174', 'WALS-200', 'Hasp-100']",sout2750,Yukaghir,,Yukaghir,Eurasia,none,no concord,no concord,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,Core cases only,8-9 cases,Case suffixes,Plural suffix,--,--,None,No gender,No gender,Absent,Adjective-Noun,Demonstrative-Noun,Numeral-Noun,Genitive-Noun,Relative clause-Noun,SOV,SV,OV
Barasano,brs,"['WALS-174', 'WALS-200', 'WALS-100']",bara1380,Tucanoan,,Tucanoan,South America,mixed-subsective,mixed,concord,True,True,True,True,False,False,False,True,True,False,True,False,False,False,True,True,False,False,False,False,False,No case marking,2 cases,Case suffixes,Plural suffix,Monoexponential case,"All nouns, always obligatory",Three,Sex-based,Semantic,--,No dominant order,Demonstrative-Noun,Numeral-Noun,Genitive-Noun,Noun-Relative clause,No dominant order,No dominant order,OV
Abkhaz,abk,"['WALS-174', 'WALS-200', 'WALS-100', 'Hasp-100']",abkh1244,Northwest Caucasian,,Northwest Caucasian,Eurasia,mixed-subsective-crossed,mixed,concord,True,False,True,False,False,False,False,True,True,False,False,False,False,False,True,True,True,False,False,False,False,No case marking,2 cases,No case affixes or adpositional clitics,Plural suffix,No case,"All nouns, always obligatory",Three,Sex-based,Semantic,Absent,Noun-Adjective,Demonstrative-Noun,No dominant order,Genitive-Noun,Relative clause-Noun,SOV,SV,OV
Garo,gar,"['WALS-174', 'WALS-200']",garo1247,Bodo-Garo,Tibeto-Burman,Sino-Tibetan,Eurasia,none-clf,no concord,no concord,True,False,False,False,False,False,False,True,False,False,False,False,False,True,True,False,False,False,False,False,False,No syncretism,8-9 cases,Postpositional clitics,Plural clitic,Monoexponential case,"All nouns, always optional",--,--,--,Obligatory,Noun-Adjective,Demonstrative-Noun,Noun-Numeral,Genitive-Noun,Relative clause-Noun,SOV,SV,OV
Thai,tha,"['WALS-174', 'WALS-200', 'WALS-100']",thai1261,Kam-Tai,,Tai-Kadai,Eurasia,none,no concord,no concord,True,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,No case marking,No morphological case-marking,No case affixes or adpositional clitics,--,No case,--,None,No gender,No gender,Obligatory,Noun-Adjective,Noun-Demonstrative,Noun-Numeral,Noun-Genitive,Noun-Relative clause,SVO,SV,VO
Iraqw,irq,"['WALS-174', 'WALS-200']",iraq1241,Southern Cushitic,Cushitic,Afro-Asiatic,Africa,mixed-subsective,mixed,concord,True,True,False,False,False,False,False,True,False,False,False,False,False,False,True,True,True,False,False,False,False,No case marking,Exclusively borderline case-marking,No case affixes or adpositional clitics,Plural suffix,--,"All nouns, always obligatory",Two,Sex-based,Semantic and formal,Absent,Noun-Adjective,Noun-Demonstrative,Noun-Numeral,Noun-Genitive,Noun-Relative clause,SOV,SV,OV
Chinantec (Lealao),cle,"['WALS-174', 'WALS-200']",leal1235,Chinantecan,,Oto-Manguean,North America,indeterminate-1ft,indeterminate,concord,True,True,False,False,False,False,False,True,True,False,False,False,False,False,True,True,False,False,False,False,False,No case marking,No morphological case-marking,No case affixes or adpositional clitics,Plural word,--,--,Two,Non-sex-based,Semantic,--,Noun-Adjective,Noun-Demonstrative,Numeral-Noun,Noun-Genitive,Noun-Relative clause,VOS,VS,VO
Hunzib,hzb,"['WALS-174', 'WALS-200']",hunz1247,Avar-Andic-Tsezic,Daghestanian,Nakh-Daghestanian,Eurasia,mixed-subsective,mixed,concord,True,True,True,True,False,False,False,True,False,False,True,False,False,False,True,True,True,True,False,False,False,No syncretism,10 or more cases,Case suffixes,Plural suffix,Monoexponential case,"All nouns, always obligatory",Five or more,Sex-based,Semantic,Absent,Adjective-Noun,Demonstrative-Noun,Numeral-Noun,Genitive-Noun,Relative clause-Noun,SOV,SV,OV
Bagirmi,bag,"['WALS-174', 'WALS-200', 'WALS-100']",bagi1246,Bongo-Bagirmi,,Central Sudanic,Africa,none,no concord,no concord,True,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,No case marking,No morphological case-marking,No case affixes or adpositional clitics,Plural clitic,No case,"All nouns, always obligatory",None,No gender,No gender,--,Noun-Adjective,Noun-Demonstrative,Noun-Numeral,Noun-Genitive,Noun-Relative clause,SVO,SV,VO
Japanese,jpn,"['WALS-174', 'WALS-200', 'WALS-100', 'Hasp-100']",nucl1643,Japanese,,Japanese,Eurasia,none,no concord,no concord,True,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,No case marking,8-9 cases,Postpositional clitics,Plural suffix,Monoexponential case,"Only human nouns, optional",--,--,--,Obligatory,Adjective-Noun,Demonstrative-Noun,Numeral-Noun,Genitive-Noun,Relative clause-Noun,SOV,SV,OV
Vietnamese,vie,"['WALS-174', 'WALS-200', 'WALS-100']",viet1252,Viet-Muong,Mon-Khmer,Austro-Asiatic,Eurasia,none,no concord,no concord,True,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,No case marking,No morphological case-marking,No case affixes or adpositional clitics,Plural word,No case,"All nouns, always optional",None,No gender,No gender,Obligatory,Noun-Adjective,Noun-Demonstrative,Numeral-Noun,Noun-Genitive,Noun-Relative clause,SVO,SV,VO
Warao,wra,"['WALS-174', 'WALS-200', 'WALS-100', 'Hasp-100']",wara1303,Warao,,Warao,South America,indeterminate-1ft,indeterminate,concord,True,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,True,False,False,False,False,Core cases only,5 cases,--,Plural suffix,Monoexponential case,--,None,No gender,No gender,--,Noun-Adjective,Demonstrative-Noun,Noun-Numeral,Genitive-Noun,--,--,SV,OV
Swahili,swa,"['WALS-174', 'WALS-200', 'WALS-100']",swah1253,Bantoid,Benue-Congo,Niger-Congo,Africa,uniform,uniform,concord,True,True,True,False,False,False,False,True,True,True,False,False,False,False,True,True,True,False,False,False,False,No case marking,No morphological case-marking,Mixed morphological case,Plural prefix,No case,"All nouns, always obligatory",Five or more,Non-sex-based,Semantic and formal,Absent,Noun-Adjective,Noun-Demonstrative,Noun-Numeral,Noun-Genitive,Noun-Relative clause,SVO,SV,VO
Kunama,knm,"['WALS-174', 'WALS-200']",kuna1268,Kunama,,Kunama,Africa,indeterminate-1ft,indeterminate,concord,True,False,True,False,False,False,False,True,False,True,False,False,False,False,True,False,True,False,False,False,False,No case marking,6-7 cases,Postpositional clitics,Plural clitic,Monoexponential case,--,--,--,--,--,Noun-Adjective,Noun-Demonstrative,Noun-Numeral,Genitive-Noun,Noun-Relative clause,SOV,SV,OV
Slave,sla,"['WALS-174', 'WALS-200', 'WALS-100', 'Hasp-100']",sout2959,Athapaskan,,Na-Dene,North America,indeterminate-minimal-clf,indeterminate,concord,True,False,False,False,False,False,False,True,False,False,False,False,False,True,True,True,False,False,False,False,False,No case marking,No morphological case-marking,No case affixes or adpositional clitics,Plural suffix,No case,--,--,--,--,--,Noun-Adjective,Demonstrative-Noun,Noun-Numeral,Genitive-Noun,Mixed,SOV,SV,OV
Miwok (Southern Sierra),mss,"['WALS-174', 'WALS-200']",sout2985,Miwok,Utian,Penutian,North America,uniform,uniform,concord,True,False,True,True,False,False,False,True,False,False,False,False,False,False,True,False,True,True,False,False,False,No syncretism,6-7 cases,--,Plural suffix,Monoexponential case,--,None,No gender,No gender,Absent,No dominant order,Demonstrative-Noun,Numeral-Noun,No dominant order,--,No dominant order,SV,No dominant order
Maba,mab,"['WALS-174', 'WALS-200']",maba1277,Maban,,Maban,Africa,indeterminate-1ft-clf,indeterminate,concord,True,False,True,False,False,False,False,True,False,False,False,False,False,True,True,False,True,False,False,False,False,No case marking,3 cases,Case tone,Plural suffix,--,--,--,--,--,--,Noun-Adjective,Noun-Demonstrative,Noun-Numeral,No dominant order,Noun-Relative clause,SOV,SV,OV
Sanuma,snm,"['WALS-174', 'WALS-200', 'WALS-100', 'Hasp-100']",sanu1240,Yanomam,,Yanomam,South America,none,no concord,no concord,True,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,No case marking,2 cases,Postpositional clitics,Plural word,Monoexponential case,--,--,--,--,Optional,Noun-Adjective,Demonstrative-Noun,--,Genitive-Noun,Mixed,SOV,SV,OV
Ungarinjin,ung,"['WALS-174', 'WALS-200']",ngar1284,Worrorran,,Worrorran,Australia,uniform,uniform,concord,True,True,True,False,False,False,False,True,False,False,False,False,False,False,True,True,True,False,False,False,False,No case marking,8-9 cases,Postpositional clitics,Plural complete reduplication,--,--,--,--,--,Absent,Noun-Adjective,Noun-Demonstrative,Noun-Numeral,No dominant order,Noun-Relative clause,OVS,SV,OV
Squamish,squ,"['WALS-174', 'WALS-200']",squa1248,Central Salish,,Salishan,North America,indeterminate-1cat-clf,indeterminate,concord,True,True,True,False,False,False,False,True,False,False,False,False,False,True,True,False,False,False,False,False,False,No case marking,2 cases,Prepositional clitics,--,Monoexponential case,--,--,--,--,--,Adjective-Noun,Demonstrative-Noun,Numeral-Noun,Noun-Genitive,Mixed,VSO,VS,VO
Murle,mrl,"['WALS-174', 'WALS-200']",murl1244,Surmic,,Eastern Sudanic,Africa,indeterminate-1ft,indeterminate,concord,True,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,True,False,False,False,False,Core cases only,4 cases,Case suffixes,Plural suffix,--,--,None,No gender,No gender,--,Noun-Adjective,Noun-Demonstrative,Noun-Numeral,Noun-Genitive,Noun-Relative clause,VSO,VS,VO
Maranungku,mku,"['WALS-174', 'WALS-200']",mara1386,Wagaydy,,Western Daly,Australia,indeterminate-minimal,indeterminate,concord,True,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,True,False,False,False,False,No case marking,Exclusively borderline case-marking,No case affixes or adpositional clitics,No plural,--,No nominal plural,--,--,--,--,Noun-Adjective,Noun-Demonstrative,Noun-Numeral,Genitive-Noun,--,SOV,SV,OV
Guaran’,gua,"['WALS-174', 'WALS-200', 'WALS-100']",para1311,Tupi-Guaran’,,Tupian,South America,indeterminate-minimal,indeterminate,concord,True,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,No case marking,No morphological case-marking,No case affixes or adpositional clitics,Plural word,No case,"Only human nouns, optional",None,No gender,No gender,Absent,Noun-Adjective,Demonstrative-Noun,Numeral-Noun,Genitive-Noun,--,SVO,SV,VO
Diola-Fogny,dio,"['WALS-174', 'WALS-200']",jola1263,Northern Atlantic,Atlantic,Niger-Congo,Africa,uniform-demnodef,uniform,concord,True,True,True,False,False,False,False,True,True,True,False,True,False,False,True,True,True,False,True,False,False,No case marking,No morphological case-marking,No case affixes or adpositional clitics,Plural prefix,--,--,Five or more,Non-sex-based,Semantic and formal,--,Noun-Adjective,Noun-Demonstrative,Noun-Numeral,Noun-Genitive,Noun-Relative clause,SVO,SV,VO
